task_id,worker_name,source_type,success,processing_time,data_count,error_message,timestamp
0,1,blog,True,2.38,20,,2025-06-29T18:26:29.090824
1,0,rss,True,22.74,0,,2025-06-29T18:26:29.090838
2,2,rss,True,26.27,0,,2025-06-29T18:26:29.090840
3,1,rss,True,38.33,0,,2025-06-29T18:26:29.090841
5,2,news,True,19.48,30,,2025-06-29T18:26:29.090842
6,1,news,True,12.06,30,,2025-06-29T18:26:29.090844
4,0,news,True,35.14,43,,2025-06-29T18:26:29.090845
7,2,rss,True,116.96,1000,,2025-06-29T18:26:29.090846
0,1,blog,True,1.94,20,,2025-06-29T18:28:02.733257
1,2,rss,True,28.9,0,,2025-06-29T18:28:02.733270
2,0,rss,True,29.95,30,,2025-06-29T18:28:02.733272
5,0,news,True,9.56,29,,2025-06-29T18:28:02.733273
3,1,rss,True,43.92,253,,2025-06-29T18:28:02.733275
4,2,news,True,17.71,43,,2025-06-29T18:28:02.733276
6,0,news,True,11.57,29,,2025-06-29T18:28:02.733278
7,1,rss,True,26.96,1,,2025-06-29T18:28:02.733279
